,Metric,Conversion Type,Mean Change,T,z,Effect Size,Wilcoxon P-val
0,Mean Surp.,P to A,0.6820673981732212,257812.0,-121.30873423447404,0.8491645363062569,0.0
1,-SLOR,P to A,0.505075636005477,3299951.0,-117.50484689160069,0.8225372183966587,0.0
2,Surp. STD,P to A,0.21737473612179747,46128847.0,-63.95164126765015,0.4476632795302505,0.0
3,Surp. MAD,P to A,0.26922241942668745,42869656.0,-68.02693019853292,0.4761904161552046,0.0
4,Local Var.,P to A,0.07883519098971421,71581427.0,-32.12576253381469,0.2248812372634509,9.630580572289626e-227
5,Surp. Range,P to A,0.11680735192116036,68152530.0,-31.23457883781921,0.21864292643818936,1.808080172894449e-214
6,Mean Surp.,A to P,0.056463001836049735,2034635983.0,-61.17956727940457,0.17812174037263004,0.0
7,-SLOR,A to P,0.2528915123696403,821735987.0,-189.75924960660458,0.5524760846602327,0.0
8,Surp. STD,A to P,0.06470258880682936,2293269205.0,-33.761826629976625,0.09829614011531092,3.584646487016207e-250
9,Surp. MAD,A to P,0.05600276962337641,2304199904.0,-32.603061843374846,0.09492244511139887,1.8556268812313247e-233
10,Local Var.,A to P,0.04870055864423008,2115446035.0,-52.61288342313345,0.15318020015655845,0.0
11,Surp. Range,A to P,0.11183977219719503,1867688676.0,-75.09841260289271,0.21864587389051715,0.0
